id,season,date,round,home,away,attendance,kickoff,homeScore,awayScore,temp,rain,wind,source,provenance,weatherSource,reviewed,day,week,weather,slot
2026-2027-2026-08-21-Penybont FC,2026-2027,2026-08-21,4,Penybont FC,Llandudno FC,622.0,19:45,2.0,1.0,15.6,0.8999999999999999,5.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-17,Dry,Evening
2026-2027-2026-08-21-Trefelin Boys & Girls Club,2026-2027,2026-08-21,4,Trefelin Boys & Girls Club,Caernarfon Town,317.0,19:45,0.0,2.0,15.1,0.6,7.3,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-17,Dry,Evening
2026-2027-2026-08-22-Ammanford AFC,2026-2027,2026-08-22,4,Ammanford AFC,Connah's Quay Nomads,512.0,12:30,0.0,2.0,17.6,0.0,6.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Saturday,2026-08-17,Dry,Lunchtime
2026-2027-2026-08-28-Barry Town United,2026-2027,2026-08-28,5,Barry Town United,Airbus UK Broughton,669.0,19:45,4.0,2.0,18.3,1.0999999999999999,22.9,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Wet,Evening
2026-2027-2026-08-28-Cardiff Metropolitan University,2026-2027,2026-08-28,5,Cardiff Metropolitan University,Briton Ferry Llansawel,240.0,19:45,3.0,0.0,17.7,0.2,15.8,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
2026-2027-2026-08-28-Connah's Quay Nomads,2026-2027,2026-08-28,5,Connah's Quay Nomads,Cambrian United,220.0,19:45,3.0,0.0,17.6,0.1,14.0,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
2026-2027-2026-08-28-Holywell Town,2026-2027,2026-08-28,5,Holywell Town,Caernarfon Town,610.0,19:45,3.0,5.0,17.3,0.2,13.4,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
2026-2027-2026-08-28-Llandudno FC,2026-2027,2026-08-28,5,Llandudno FC,Haverfordwest County,403.0,19:45,2.0,0.0,18.3,0.2,14.2,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
2026-2027-2026-08-28-Penybont FC,2026-2027,2026-08-28,5,Penybont FC,Flint Town United,550.0,19:45,1.0,1.0,17.5,1.0,23.3,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Wet,Evening
2026-2027-2026-08-28-The New Saints,2026-2027,2026-08-28,5,The New Saints,Colwyn Bay,601.0,19:45,5.0,1.0,17.6,0.1,14.4,https://everythingwelshfootball.club/downloads/matches.csv,Frozen study extract · Football Web Pages / Transfermarkt,Frozen study extract · Open-Meteo,2026-09-09,Friday,2026-08-24,Dry,Evening
